duration,UDP,out_packets,out_bytes,in_packets,in_bytes,label
30.022999999999683,0.0,32,2424,5547797,277389834,1
30.02099999999996,1.0,30,17700,4516118,4814181788,1
30.02199999999993,0.0,2526885,110573504490,1678738,110796684,0
30.019999999999985,1.0,32,17784,4494696,4791343888,1
30.02199999999993,0.0,2537345,111033208242,1685184,111222120,0
30.02300000000014,0.0,32,2424,5582145,279107234,1
30.02299999999991,0.0,32,2424,5492998,274649884,1
30.01900000000004,0.0,30,2340,5534726,276736300,1
30.02199999999993,1.0,1,42,2658,4017426,0
30.02099999999973,1.0,1,42,2652,4008354,0
30.02199999999993,0.0,2578217,112820057858,1712780,113043456,0
30.019999999999985,1.0,32,17784,4287696,4570681888,1
30.02199999999993,1.0,0,0,2658,4018896,0
30.02099999999996,1.0,31,17742,4576998,4879078844,1
30.021000000000186,1.0,33,17826,4300402,4584225460,1
30.02000000000009,1.0,32,17784,4310270,4594745772,1
30.021000000000186,1.0,1,42,2658,4017426,0
30.02199999999993,0.0,2537719,111049420694,1685209,111223770,0
30.019999999999985,1.0,32,17784,4503543,4800774790,1
30.02199999999993,1.0,1,42,2659,4018938,0
30.02000000000004,1.0,32,17784,4511579,4809341166,1
30.019999999999985,1.0,31,17742,4311820,4596399096,1
30.02199999999993,1.0,1,42,2658,4017426,0
30.02100000000001,0.0,2578061,112812970426,1713886,113116452,0
30.019000000000005,0.0,14,1056,2458316,122915792,1
30.02099999999973,0.0,2552611,111702420854,1690690,111585516,0
30.02199999999999,1.0,32,17784,4305108,4589243080,1
30.024,1.0,32,17784,4262023,4543314470,1
30.02099999999996,1.0,31,17194,4235692,4515245624,1
30.02300000000014,1.0,1,42,2652,4008354,0
30.02199999999993,0.0,32,2424,5539948,276997384,1
30.019000000000005,1.0,32,17784,4513082,4810943364,1
30.019000000000005,1.0,32,17784,4519757,4818058914,1
30.02200000000002,0.0,2449875,107208456270,1627998,107447844,0
30.02200000000016,0.0,2533117,110846021274,1683187,111090318,0
30.02,1.0,32,17784,4553722,4854265604,1
30.02199999999999,0.0,2521279,110330454310,1674288,110502996,0
30.02099999999996,0.0,2592062,113426983372,1719956,113517048,0
30.02200000000016,0.0,2522719,110391891046,1675913,110610234,0
30.021,0.0,32,2424,5519061,275953034,1
30.019999999999985,0.0,32,2424,5487096,274354784,1
30.02099999999996,0.0,2510414,109853945860,1667426,110050092,0
30.02099999999996,0.0,33,2466,5498708,274935376,1
30.019000000000005,1.0,30,17700,4526924,4825700984,1
