,duration,ip_proto,out_packets,out_bytes,in_packets,in_bytes,label
0,30.025,TCP,32,2424,5141470,257073484,1
1,30.021,TCP,32,2424,5555871,277793534,1
2,30.020999999999994,TCP,32,2424,5519061,275953034,1
3,30.022000000000006,TCP,32,2424,5506048,275302384,1
4,30.02000000000001,TCP,31,2382,5535715,276785742,1
5,30.022999999999996,TCP,32,2424,5552949,277647434,1
6,30.020999999999987,TCP,32,2424,5531539,276576934,1
7,30.022999999999996,TCP,33,2502,5540376,277018784,1
8,30.019000000000034,TCP,30,2340,5534726,276736300,1
9,30.020999999999958,TCP,32,2424,5512453,275622634,1
10,30.02199999999999,TCP,31,2382,5510463,275523142,1
11,30.022000000000048,TCP,32,2424,5507999,275399934,1
12,30.019999999999982,TCP,31,2346,5426812,271340584,1
13,30.021000000000015,TCP,18,1368,2166745,108337242,1
14,30.019000000000005,TCP,15,1134,2665207,133260342,1
15,30.019000000000005,TCP,10,780,867821,43391050,1
16,30.017999999999972,TCP,16,1176,2606181,130309034,1
17,30.019999999999982,TCP,10,780,868234,43411700,1
18,30.019000000000005,TCP,16,1176,2569768,128488384,1
19,30.019999999999982,TCP,10,780,903646,45182300,1
20,30.019000000000005,TCP,16,1176,2552356,127617784,1
21,30.01800000000003,TCP,12,864,915215,45760742,1
22,30.019000000000005,TCP,14,1092,2594787,129739342,1
23,30.019000000000005,TCP,12,900,925686,46284292,1
24,30.019000000000005,TCP,14,1056,2458316,122915792,1
25,30.019999999999982,TCP,13,942,936479,46823934,1
26,30.01800000000003,TCP,13,1014,2465523,123276150,1
27,30.019999999999982,TCP,11,858,957000,47850000,1
28,30.021999999999935,TCP,32,2424,5586905,279345234,1
29,30.022000000000048,TCP,32,2424,5567145,278357234,1
30,30.022000000000048,TCP,31,2382,5584136,279206792,1
31,30.021999999999935,TCP,32,2424,5554283,277714134,1
32,30.024,TCP,31,2382,5532668,276633392,1
33,30.022000000000048,TCP,31,2382,5597523,279876142,1
34,30.02299999999991,TCP,32,2424,5560043,278002134,1
35,30.022000000000162,TCP,31,2382,5552755,277637742,1
36,30.021999999999935,TCP,32,2424,5522853,276142634,1
37,30.02299999999991,TCP,31,2382,5531381,276569042,1
38,30.022000000000162,TCP,31,2382,5533253,276662642,1
39,30.026999999999816,TCP,31,2382,5523465,276173242,1
40,30.024000000000115,TCP,32,2424,5535109,276755434,1
41,30.02299999999991,TCP,31,2382,5562867,278143342,1
42,30.022000000000162,TCP,31,2382,5471664,273583192,1
43,30.021999999999935,TCP,32,2424,5555287,277764334,1
44,30.021999999999935,TCP,30,2340,5554006,277700300,1
45,30.02299999999991,TCP,32,2424,5551811,277590534,1
46,30.022000000000162,TCP,32,2424,5547959,277397934,1
47,30.021999999999935,TCP,30,2340,5547714,277385700,1
48,30.021999999999935,TCP,32,2424,5551316,277565784,1
49,30.026000000000067,TCP,32,2424,5555131,277756534,1
50,30.024000000000115,TCP,31,2382,5546851,277342542,1
51,30.02299999999991,TCP,31,2382,5542028,277101392,1
52,30.020999999999958,TCP,32,2424,5537633,276881634,1
53,30.021999999999935,TCP,32,2424,5539948,276997384,1
54,30.021000000000186,TCP,31,2382,5542203,277110142,1
55,30.020999999999958,TCP,32,2424,5557188,277859384,1
56,30.037000000000035,TCP,31,2382,5554220,277710992,1
57,30.024999999999864,TCP,32,2424,5524072,276203584,1
58,30.020999999999958,TCP,31,2382,5533622,276681092,1
59,30.022000000000162,TCP,32,2424,5523004,276150184,1
60,30.020999999999958,TCP,33,2466,5498708,274935376,1
61,30.02299999999991,TCP,32,2424,5492998,274649884,1
62,30.01800000000003,TCP,32,2424,5515178,275758884,1
63,30.020999999999958,TCP,20,1452,2128525,106426226,1
64,30.017000000000053,TCP,15,1170,2709604,135480200,1
65,30.019999999999982,TCP,15,1098,1284629,64231434,1
66,30.019999999999982,TCP,32,2424,5510781,275539034,1
67,30.024000000000115,TCP,31,2382,5503595,275179742,1
68,30.019999999999754,TCP,32,2424,5518603,275930134,1
69,30.02200000000039,TCP,33,2466,5523586,276179276,1
70,30.019999999999982,TCP,32,2424,5487096,274354784,1
71,30.021999999999935,TCP,18,1368,2159178,107958892,1
