duration,protocol,in_packets,in_bytes,out_packets,out_bytes
33719.052,UDP,2875478,4346308596,968,41424
33749.072,UDP,2878130,4350316950,969,41466
33779.093,UDP,2880782,4354325304,970,41508
33809.115,UDP,2883433,4358332146,971,41550
33839.136,UDP,2886084,4362340458,971,41550
33869.158,UDP,2888691,4366280772,972,41592
33899.179,UDP,2891342,4370287614,973,41634
33929.202,UDP,2893993,4374295926,973,41634
33959.224,UDP,2896645,4378304280,974,41676
33989.246,UDP,2899295,4382311080,974,41676
34019.267,UDP,2901947,4386319434,975,41718
34049.289,UDP,2904597,4390326234,975,41718
34079.306,UDP,2907248,4394333076,976,41760
34109.326,UDP,2909900,4398341430,977,41802
34139.346,UDP,2912550,4402348230,977,41802
34169.368,UDP,2915202,4406356584,978,41844
34199.388,UDP,2917854,4410364938,979,41886
34229.410,UDP,2920506,4414373292,980,41928
34259.430,UDP,2923158,4418381646,981,41970
34289.451,UDP,2925810,4422390000,982,42012
34319.472,UDP,2928463,4426398396,984,42096
34349.493,UDP,2931070,4430338710,985,42138
34379.513,UDP,2933723,4434348576,986,42180
34409.533,UDP,2936375,4438356930,987,42222
34439.553,UDP,2939028,4442366796,988,42264
34469.574,UDP,2941681,4446376662,989,42306
34499.594,UDP,2944333,4450385016,990,42348
34529.614,UDP,2946984,4454393328,990,42348
34559.634,UDP,2949636,4458401682,991,42390
34589.654,UDP,2952288,4462410036,992,42432
34619.675,UDP,2954940,4466418390,993,42474
34649.696,UDP,2957592,4470426744,994,42516
34679.718,UDP,2960244,4474435098,995,42558
34709.739,UDP,2962895,4478443410,995,42558
34739.760,UDP,2965547,4482451764,996,42600
34769.781,UDP,2968156,4486395102,997,42642
34799.801,UDP,2970807,4490403414,997,42642
34829.822,UDP,2973459,4494411768,998,42684
34859.845,UDP,2976111,4498420122,999,42726
34889.867,UDP,2978761,4502426922,999,42726
34919.889,UDP,2981414,4506436788,1000,42768
34949.912,UDP,2984065,4510443630,1001,42810
34979.934,UDP,2986716,4514451942,1001,42810
35009.955,UDP,2989369,4518461808,1002,42852
35039.975,UDP,2992022,4522471674,1003,42894
35069.996,UDP,2994673,4526479986,1003,42894
35100.017,UDP,2997325,4530488340,1004,42936
35130.039,UDP,2999977,4534496694,1005,42978
35160.061,UDP,3002630,4538506560,1006,43020
35190.082,UDP,3005283,4542516426,1007,43062
35220.103,UDP,3007935,4546526250,1007,43062
35250.124,UDP,3010543,4550468076,1008,43104
35280.145,UDP,3013195,4554476430,1009,43146
35310.165,UDP,3015847,4558484784,1010,43188
35340.185,UDP,3018499,4562493138,1011,43230
35370.206,UDP,3021151,4566501492,1012,43272
35400.227,UDP,3023803,4570509846,1013,43314
35430.248,UDP,3026455,4574518200,1014,43356
35460.269,UDP,3029107,4578526554,1015,43398
35490.289,UDP,3031760,4582534950,1017,43482
35520.313,UDP,3034412,4586543304,1018,43524
35550.336,UDP,3037065,4590553170,1019,43566
35580.357,UDP,3039718,4594563036,1020,43608
35610.378,UDP,3042371,4598571432,1022,43692
35640.400,UDP,3045024,4602581298,1023,43734
35670.422,UDP,3047676,4606589652,1024,43776
35700.445,UDP,3050284,4610532948,1024,43776
35730.466,UDP,3052936,4614541302,1025,43818
35760.487,UDP,3055592,4618555704,1026,43860
35790.507,UDP,3058250,4622574600,1026,43860
35820.528,UDP,3060910,4626595050,1027,43902
35850.549,UDP,3063570,4630615500,1028,43944
35880.571,UDP,3066227,4634632884,1028,43944
35910.592,UDP,3068884,4638648798,1029,43986
35940.613,UDP,3071541,4642664712,1030,44028
35970.634,UDP,3074200,4646685120,1030,44028
36000.655,UDP,3076861,4650705612,1032,44112
36030.676,UDP,3079525,4654732110,1033,44154
36060.697,UDP,3082183,4658749536,1034,44196
36090.718,UDP,3084841,4662766962,1035,44238
36120.739,UDP,3087456,4666717902,1037,44322
36150.759,UDP,3090114,4670735328,1038,44364
36180.781,UDP,3092772,4674752754,1039,44406
36210.802,UDP,3095430,4678768710,1041,44490
36240.823,UDP,3098088,4682786136,1042,44532
36270.844,UDP,3100746,4686803562,1043,44574
36300.866,UDP,3103406,4690824012,1044,44616
36330.887,UDP,3106065,4694842950,1045,44658
36360.908,UDP,3108727,4698866424,1046,44700
36390.930,UDP,3111392,4702894434,1047,44742
36420.951,UDP,3114055,4706919420,1048,44784
36450.974,UDP,3116718,4710944406,1049,44826
36480.996,UDP,3119378,4714964856,1050,44868
36511.019,UDP,3122035,4718980770,1051,44910
36541.041,UDP,3124693,4722998196,1052,44952
36571.061,UDP,3127307,4726949094,1053,44994
36601.078,UDP,3129970,4730974080,1054,45036
36631.099,UDP,3132626,4734988482,1055,45078
36661.118,UDP,3135283,4739005866,1055,45078
36691.139,UDP,3137940,4743021780,1056,45120
36721.160,UDP,3140598,4747039206,1057,45162
36751.181,UDP,3143256,4751058102,1057,45162
36781.203,UDP,3145914,4755075528,1058,45204
36811.226,UDP,3148566,4759083882,1059,45246
36841.248,UDP,3151217,4763092194,1059,45246
36871.271,UDP,3153870,4767102060,1060,45288
36901.294,UDP,3156522,4771110414,1061,45330
36931.316,UDP,3159173,4775118726,1061,45330
36961.337,UDP,3161826,4779128592,1062,45372
36991.358,UDP,3164478,4783136946,1063,45414
37021.379,UDP,3167086,4787078772,1064,45456
37051.399,UDP,3169738,4791087126,1065,45498
37081.418,UDP,3172391,4795096992,1066,45540
37111.439,UDP,3175043,4799105346,1067,45582
37141.460,UDP,3177696,4803113742,1069,45666
37171.480,UDP,3180349,4807123608,1070,45708
37201.501,UDP,3183001,4811131962,1071,45750
37231.522,UDP,3185653,4815140316,1072,45792
37261.545,UDP,3188305,4819148670,1073,45834
37291.569,UDP,3190957,4823157024,1074,45876
37321.590,UDP,3193608,4827163866,1075,45918
37351.612,UDP,3196260,4831172220,1076,45960
37381.634,UDP,3198912,4835180574,1077,46002
37411.656,UDP,3201563,4839187416,1078,46044
37441.679,UDP,3204215,4843195770,1079,46086
37471.702,UDP,3206867,4847204124,1080,46128
37501.722,UDP,3209475,4851145950,1081,46170
37531.743,UDP,3212127,4855154304,1082,46212
37561.766,UDP,3214779,4859162658,1083,46254
37591.789,UDP,3217432,4863172524,1084,46296
37621.810,UDP,3220084,4867182348,1084,46296
37651.833,UDP,3222736,4871190702,1085,46338
37681.855,UDP,3225389,4875200568,1086,46380
37711.877,UDP,3228041,4879208922,1087,46422
37741.899,UDP,3230692,4883217234,1087,46422
37771.920,UDP,3233344,4887225588,1088,46464
37801.942,UDP,3235997,4891235454,1089,46506
37831.964,UDP,3238650,4895245320,1090,46548
37861.986,UDP,3241302,4899253674,1091,46590
37892.008,UDP,3243955,4903263540,1092,46632
37922.030,UDP,3246607,4907271894,1093,46674
37952.051,UDP,3249217,4911215274,1095,46758
37982.073,UDP,3251869,4915223628,1096,46800
38012.095,UDP,3254521,4919231982,1097,46842
38042.117,UDP,3257175,4923241890,1099,46926
38072.139,UDP,3259827,4927250244,1100,46968
38102.161,UDP,3262480,4931260110,1101,47010
38132.183,UDP,3265132,4935268464,1102,47052
38162.205,UDP,3267783,4939275306,1103,47094
38192.226,UDP,3270433,4943282106,1103,47094
38222.247,UDP,3273086,4947291972,1104,47136
38252.269,UDP,3275737,4951300284,1104,47136
38282.292,UDP,3278388,4955307126,1105,47178
38312.313,UDP,3281039,4959313968,1106,47220
38342.335,UDP,3283690,4963322280,1106,47220
38372.357,UDP,3286342,4967330634,1107,47262
38402.379,UDP,3288949,4971272418,1107,47262
38432.401,UDP,3291601,4975280772,1108,47304
38462.424,UDP,3294253,4979289126,1109,47346
38492.445,UDP,3296905,4983297480,1110,47388
38522.467,UDP,3299557,4987305834,1111,47430
38552.488,UDP,3302208,4991314146,1111,47430
38582.510,UDP,3304860,4995322500,1112,47472
38612.532,UDP,3307512,4999330854,1113,47514
38642.554,UDP,3310164,5003339208,1114,47556
38672.576,UDP,3312816,5007347562,1115,47598
38702.598,UDP,3315468,5011355916,1116,47640
38732.620,UDP,3318120,5015364270,1117,47682
38762.642,UDP,3320771,5019372582,1117,47682
38792.663,UDP,3323423,5023380936,1118,47724
38822.685,UDP,3326075,5027389290,1119,47766
38852.708,UDP,3328726,5031397602,1119,47766
38882.730,UDP,3331334,5035339428,1120,47808
38912.752,UDP,3333985,5039346270,1121,47850
38942.774,UDP,3336637,5043356094,1121,47850
38972.796,UDP,3339294,5047372008,1122,47892
39002.818,UDP,3341951,5051387922,1123,47934
39032.840,UDP,3344610,5055408330,1123,47934
39062.862,UDP,3347270,5059428780,1124,47976
39092.884,UDP,3349929,5063447718,1125,48018
