duration,ip_proto,out_packets,out_bytes,in_packets,in_bytes,label
30.025,TCP,32,2424,5141470,257073484,1
30.021,TCP,32,2424,5555871,277793534,1
30.020999999999994,TCP,32,2424,5519061,275953034,1
30.022000000000006,TCP,32,2424,5506048,275302384,1
30.02000000000001,TCP,31,2382,5535715,276785742,1
30.022999999999996,TCP,32,2424,5552949,277647434,1
30.020999999999987,TCP,32,2424,5531539,276576934,1
30.022999999999996,TCP,33,2502,5540376,277018784,1
30.019000000000034,TCP,30,2340,5534726,276736300,1
30.020999999999958,TCP,32,2424,5512453,275622634,1
30.02199999999999,TCP,31,2382,5510463,275523142,1
30.022000000000048,TCP,32,2424,5507999,275399934,1
30.019999999999982,TCP,31,2346,5426812,271340584,1
30.021000000000015,TCP,18,1368,2166745,108337242,1
30.019000000000005,TCP,15,1134,2665207,133260342,1
30.019000000000005,TCP,10,780,867821,43391050,1
30.017999999999972,TCP,16,1176,2606181,130309034,1
30.019999999999982,TCP,10,780,868234,43411700,1
30.019000000000005,TCP,16,1176,2569768,128488384,1
30.019999999999982,TCP,10,780,903646,45182300,1
30.019000000000005,TCP,16,1176,2552356,127617784,1
30.01800000000003,TCP,12,864,915215,45760742,1
30.019000000000005,TCP,14,1092,2594787,129739342,1
30.019000000000005,TCP,12,900,925686,46284292,1
30.019000000000005,TCP,14,1056,2458316,122915792,1
30.019999999999982,TCP,13,942,936479,46823934,1
30.01800000000003,TCP,13,1014,2465523,123276150,1
30.019999999999982,TCP,11,858,957000,47850000,1
30.021999999999935,TCP,32,2424,5586905,279345234,1
30.022000000000048,TCP,32,2424,5567145,278357234,1
30.022000000000048,TCP,31,2382,5584136,279206792,1
30.021999999999935,TCP,32,2424,5554283,277714134,1
30.024,TCP,31,2382,5532668,276633392,1
30.022000000000048,TCP,31,2382,5597523,279876142,1
30.02299999999991,TCP,32,2424,5560043,278002134,1
30.022000000000162,TCP,31,2382,5552755,277637742,1
30.021999999999935,TCP,32,2424,5522853,276142634,1
30.02299999999991,TCP,31,2382,5531381,276569042,1
30.022000000000162,TCP,31,2382,5533253,276662642,1
30.026999999999816,TCP,31,2382,5523465,276173242,1
30.024000000000115,TCP,32,2424,5535109,276755434,1
30.02299999999991,TCP,31,2382,5562867,278143342,1
30.022000000000162,TCP,31,2382,5471664,273583192,1
30.021999999999935,TCP,32,2424,5555287,277764334,1
30.021999999999935,TCP,30,2340,5554006,277700300,1
30.02299999999991,TCP,32,2424,5551811,277590534,1
30.022000000000162,TCP,32,2424,5547959,277397934,1
30.021999999999935,TCP,30,2340,5547714,277385700,1
30.021999999999935,TCP,32,2424,5551316,277565784,1
30.026000000000067,TCP,32,2424,5555131,277756534,1
30.024000000000115,TCP,31,2382,5546851,277342542,1
30.02299999999991,TCP,31,2382,5542028,277101392,1
30.020999999999958,TCP,32,2424,5537633,276881634,1
30.021999999999935,TCP,32,2424,5539948,276997384,1
30.021000000000186,TCP,31,2382,5542203,277110142,1
30.020999999999958,TCP,32,2424,5557188,277859384,1
30.037000000000035,TCP,31,2382,5554220,277710992,1
30.024999999999864,TCP,32,2424,5524072,276203584,1
30.020999999999958,TCP,31,2382,5533622,276681092,1
30.022000000000162,TCP,32,2424,5523004,276150184,1
30.020999999999958,TCP,33,2466,5498708,274935376,1
30.02299999999991,TCP,32,2424,5492998,274649884,1
30.01800000000003,TCP,32,2424,5515178,275758884,1
30.020999999999958,TCP,20,1452,2128525,106426226,1
30.017000000000053,TCP,15,1170,2709604,135480200,1
30.019999999999982,TCP,15,1098,1284629,64231434,1
30.019999999999982,TCP,32,2424,5510781,275539034,1
30.024000000000115,TCP,31,2382,5503595,275179742,1
30.019999999999754,TCP,32,2424,5518603,275930134,1
30.02200000000039,TCP,33,2466,5523586,276179276,1
30.019999999999982,TCP,32,2424,5487096,274354784,1
30.021999999999935,TCP,18,1368,2159178,107958892,1
30.019999999999982,TCP,26,1956,3477640,173881984,1
30.022999999999683,TCP,32,2424,5547797,277389834,1
30.02200000000039,TCP,31,2382,5574607,278730342,1
30.021999999999935,TCP,33,2466,5541120,277055976,1
30.02099999999973,TCP,32,2424,5507654,275382684,1
30.02200000000039,TCP,31,2382,5549178,277458892,1
30.019999999999982,TCP,32,2424,5535383,276769134,1
30.021999999999935,TCP,31,2382,5538835,276941742,1
30.021999999999935,TCP,31,2382,5555455,277772742,1
30.021999999999935,TCP,32,2424,5577793,278889634,1
30.021999999999935,TCP,31,2382,5563278,278163892,1
30.021999999999935,TCP,31,2382,5452264,272613192,1
30.021000000000186,TCP,32,2424,5562766,278138284,1
30.021999999999935,TCP,30,2340,5569891,278494550,1
30.02300000000014,TCP,32,2424,5582145,279107234,1
30.024999999999636,TCP,32,2424,5569865,278493234,1
30.021000000000186,TCP,30,2340,5574989,278749450,1
30.023999999999887,TCP,32,2424,5571939,278596934,1
30.021999999999935,TCP,31,2382,5579227,278961342,1
30.024000000000342,TCP,31,2382,5573528,278676392,1
30.021999999999935,TCP,32,2424,5583799,279189934,1
30.02300000000014,TCP,31,2382,5589069,279453442,1
30.019999999999982,TCP,31,2382,5549851,277492542,1
30.021999999999935,TCP,31,2382,5533557,276677842,1
30.021999999999935,TCP,31,2382,5565793,278289642,1
30.019999999999982,TCP,17,1290,2028557,101427842,1
30.016999999999825,TCP,13,978,2272602,113630092,1
30.021000000000186,TCP,13,978,1217814,60890692,1
30.01800000000003,TCP,14,1056,2292188,114609392,1
30.018999999999778,TCP,15,1098,1247022,62351084,1
