duration,protocol,in_packets,in_bytes,out_packets,out_bytes
104559.665,ICMP,107925,10244962,107926,10245060
104589.686,ICMP,107957,10247986,107958,10248084
104619.708,ICMP,107988,10250912,107989,10251010
104649.730,ICMP,108021,10253978,108022,10254076
104679.750,ICMP,108052,10256904,108053,10257002
104709.772,ICMP,108083,10259830,108084,10259928
104739.793,ICMP,108115,10262854,108116,10262952
104769.814,ICMP,108143,10265598,108144,10265696
104799.836,ICMP,108175,10268622,108176,10268720
104829.860,ICMP,108206,10271548,108207,10271646
104859.883,ICMP,108236,10274432,108237,10274530
104889.904,ICMP,108267,10277414,108268,10277512
104919.927,ICMP,108298,10280340,108299,10280438
104949.949,ICMP,108329,10283322,108330,10283420
104979.970,ICMP,108359,10286206,108360,10286304
105009.991,ICMP,108390,10289132,108391,10289230
105040.013,ICMP,108421,10292114,108422,10292212
105070.034,ICMP,108451,10294998,108452,10295096
105100.055,ICMP,108482,10297924,108483,10298022
105130.076,ICMP,108513,10300906,108514,10301004
105160.097,ICMP,108543,10303790,108544,10303888
105190.119,ICMP,108573,10306674,108574,10306772
105220.141,ICMP,108604,10309600,108605,10309698
105250.162,ICMP,108635,10312582,108636,10312680
105280.181,ICMP,108665,10315466,108666,10315564
105310.201,ICMP,108696,10318392,108697,10318490
105340.224,ICMP,108726,10321332,108727,10321430
105370.245,ICMP,108758,10324300,108759,10324398
105400.267,ICMP,108789,10327226,108790,10327324
105430.289,ICMP,108820,10330208,108821,10330306
105460.310,ICMP,108852,10333176,108853,10333274
105490.332,ICMP,108882,10336060,108883,10336158
105520.356,ICMP,108914,10339084,108915,10339182
105550.378,ICMP,108945,10342010,108946,10342108
105580.400,ICMP,108976,10344936,108977,10345034
105610.421,ICMP,109008,10347960,109009,10348058
105640.443,ICMP,109039,10350886,109040,10350984
105670.464,ICMP,109069,10353770,109070,10353868
105700.486,ICMP,109100,10356696,109101,10356794
105730.508,ICMP,109133,10359762,109134,10359860
105760.531,ICMP,109164,10362688,109165,10362786
105790.554,ICMP,109195,10365614,109196,10365712
105820.577,ICMP,109227,10368638,109228,10368736
105850.599,ICMP,109258,10371564,109259,10371662
105880.621,ICMP,109289,10374490,109290,10374588
105910.641,ICMP,109322,10377556,109323,10377654
105940.663,ICMP,109353,10380482,109354,10380580
105970.684,ICMP,109383,10383366,109384,10383464
106000.705,ICMP,109414,10386348,109415,10386446
106030.728,ICMP,109445,10389274,109446,10389372
106060.750,ICMP,109477,10392298,109478,10392396
106090.772,ICMP,109507,10395182,109508,10395280
106120.791,ICMP,109538,10398108,109539,10398206
