duration,protocol,in_packets,in_bytes,out_packets,out_bytes
4670.240,TCP,260283734,17178723432,392012766,17154176856172
4700.260,TCP,261988585,17291243574,394578909,17266469077386
4730.282,TCP,263670536,17402252316,397109770,17377218348948
4760.303,TCP,265346663,17512876674,399631674,17487574403548
4790.326,TCP,267009763,17622641250,402139320,17597306269760
4820.347,TCP,268701694,17734308672,404686241,17708757247786
4850.368,TCP,270350431,17843125290,407167121,17817318512506
4880.390,TCP,272058935,17955886554,409737640,17929803960544
4910.411,TCP,273718729,18065432934,412235248,18039097120872
4940.432,TCP,275336425,18172200846,414671986,18145725830988
4970.454,TCP,276995549,18281703030,417170185,18255045441730
5000.475,TCP,278726046,18395915808,419776051,18369075809014
5030.496,TCP,280453024,18509896332,422379830,18483016450468
5060.518,TCP,282162776,18622739940,424957480,18595814254576
5090.540,TCP,283795427,18730494906,427415895,18703392242190
5120.561,TCP,285455939,18840088674,429915756,18812782872552
5150.582,TCP,287154708,18952207380,432474479,18924749152246
5180.603,TCP,288802350,19060951728,434955328,19033309432256
5210.625,TCP,290537249,19175455038,437570436,19147744438576
5240.647,TCP,292235446,19287536016,440128021,19259660049394
5270.668,TCP,293924380,19399005636,442671238,19370951660044
5300.690,TCP,295661643,19513664970,445288269,19485472907586
5330.711,TCP,297394203,19628013906,447897425,19599647540138
5360.732,TCP,299105557,19740963246,450477847,19712565458078
5390.754,TCP,300775297,19851166038,452992723,19822614733542
5420.774,TCP,302466957,19962815574,455541194,19934134036468
5450.795,TCP,304137638,20073080496,458052453,20044026638426
5480.817,TCP,305854396,20186386500,460639860,20157250284064
5510.839,TCP,307485367,20294030538,463097605,20264799195338
5540.857,TCP,309169218,20405164680,465636557,20375902174786
5570.879,TCP,310826987,20514577410,468137316,20485331596568
5600.900,TCP,312526346,20626735056,470696842,20597334825652
5630.921,TCP,314281303,20742562194,473340863,20713035273558
5660.944,TCP,315986765,20855122662,475911744,20825535098224
5690.966,TCP,317657723,20965405866,478427597,20935628347314
5720.988,TCP,319294569,21073437654,480892874,21043506418364
5751.011,TCP,320956765,21183142590,483394865,21152990708826
5781.033,TCP,322622363,21293072034,485904007,21262789062118
5811.057,TCP,324263083,21401359530,488373693,21370859706810
5841.081,TCP,325965027,21513687810,490941511,21483226749614
5871.103,TCP,327658464,21625454628,493489742,21594736794996
5901.124,TCP,329362641,21737930286,496054190,21706955897236
5931.146,TCP,331054305,21849580110,498599714,21818347603700
5961.167,TCP,332744493,21961132494,501144518,21929707608356
5991.189,TCP,334410595,22071095202,503653628,22039505107192
6021.210,TCP,336088479,22181835522,506181570,22150125473396
6051.232,TCP,337773097,22293020310,508715601,22261014349650
6081.253,TCP,339471036,22405084260,511271433,22372854477618
6111.275,TCP,341161623,22516662978,513816308,22484217370544
6141.296,TCP,342896631,22631173506,516428406,22598520713764
6171.318,TCP,344519252,22738266468,518871644,22705434278368
6201.339,TCP,346213319,22850074890,521419841,22816941569770
6231.360,TCP,347886370,22960496232,523942151,22927315739102
6261.381,TCP,349567056,23071421484,526474622,23038133995636
6291.402,TCP,351198395,23179089858,528933610,23145739218884
6321.424,TCP,352913390,23292279504,531523697,23259085461898
6351.444,TCP,354626854,23405368104,534103964,23371993146744
6381.465,TCP,356414084,23523325284,536796676,23489822665800
6411.487,TCP,358101514,23634695640,539335579,23600920464294
6441.508,TCP,359807126,23747266020,541906040,23713399485200
6471.529,TCP,361588218,23864818092,544593219,23830986090718
6501.549,TCP,363302173,23977939098,547178603,23944119687446
6531.571,TCP,365055297,24093645258,549817156,24059577947376
6561.592,TCP,366820586,24210154332,552473920,24175834195944
6591.615,TCP,368604487,24327891774,555163312,24293517546808
6621.637,TCP,370347699,24442943742,557791984,24408543993624
6651.658,TCP,372087735,24557786118,560411119,24523154180958
6681.680,TCP,373829338,24672731892,563032073,24637842673898
6711.702,TCP,375566789,24787403634,565648505,24752334652850
6741.724,TCP,377323560,24903350520,568291722,24868000248476
6771.746,TCP,379072935,25018809246,570926007,24983272956822
6801.769,TCP,380817096,25133923848,573553022,25098228841948
6831.790,TCP,382531395,25247067558,576134831,25211204392790
6861.811,TCP,384309777,25364440770,578813902,25328437681764
6891.831,TCP,386101266,25482679020,581516848,25446715421960
6921.853,TCP,387845445,25597794810,584141463,25561562949878
6951.875,TCP,389621510,25715015076,586818226,25678695292884
6981.896,TCP,391366621,25830192378,589448522,25793794460020
7011.918,TCP,393129636,25946551344,592100475,25909840479606
7041.940,TCP,394907143,26063866782,594780077,26027096610882
7071.962,TCP,396651876,26179019136,597406087,26142005702886
